"Chapter","Type","Number","Springer ID","Source file","Caption","Alt Text"
"Chapter 4: The Geometry of Nodes","Figure","Fig. 4.1","fig4_1","figures/ch04/python/runge_phenomenon.pdf","The Runge phenomenon: polynomial interpolation of $f(x) = 1/(1 + 25x^2)$ on equispaced nodes. As the polynomial degree increases, oscillations near the boundaries $x = plus.minus 1$ grow unboundedly. The exact function (solid) and interpolants (dashed) are shown for $N = 6$, $10$, and $14$.","Line plot on the interval from minus one to one comparing the smooth bell-shaped Runge function (solid curve) against its polynomial interpolants (dashed curves) on equispaced nodes for degrees six, ten, and fourteen. The interpolants track the function in the center but develop progressively larger oscillations near the endpoints at x equals plus or minus one, with the swings ballooning as the degree rises, illustrating divergence."
"Chapter 4: The Geometry of Nodes","Figure","Fig. 4.2","fig4_2","figures/ch04/python/equipotential_curves.pdf","Equipotential curves in the complex plane. Left: uniform node density (equispaced nodes). Right: Chebyshev density, where equipotentials are Bernstein ellipses. The poles of the Runge function at $z = plus.minus 0.2 i$ are marked with crosses. For Chebyshev interpolation, the critical ellipse passing through the poles determines the convergence rate.","Two side-by-side contour maps of the complex plane showing closed equipotential curves wrapping the real interval from minus one to one. Left, for uniform equispaced node density, the contours bulge only slightly off the real axis before reaching the Runge poles at z equals plus or minus zero point two i (marked by crosses). Right, for Chebyshev density, the equipotentials are nested Bernstein ellipses with foci at plus or minus one; the critical ellipse passing through the poles sets the convergence rate, and the contours enclose more of the plane, explaining why Chebyshev interpolation converges."
"Chapter 4: The Geometry of Nodes","Figure","Fig. 4.3","fig4_3","figures/ch04/python/chebyshev_points_circle.pdf","Geometric construction of Chebyshev points. Points equally spaced on the upper semicircle (by angle $theta_j = j pi / N$) project vertically onto the Chebyshev nodes on the $x$-axis. Equal spacing on the circle maps to clustering near the endpoints $x = plus.minus 1$.","Geometric diagram of a unit semicircle with equally spaced points placed along its upper arc at angles theta sub j equal to j pi over N. Vertical dashed projection lines drop each circle point straight down to the x-axis, producing the Chebyshev nodes. Equal angular spacing on the arc maps to nodes that bunch together near the endpoints at x equals plus or minus one and spread out near the center, illustrating endpoint clustering."
"Chapter 4: The Geometry of Nodes","Figure","Fig. 4.4","fig4_4","figures/ch04/python/chebyshev_success.pdf","Chebyshev interpolation of the Runge function. Left: the function and interpolants for $N = 6$, $10$, and $14$. Right: interpolation error on a logarithmic scale. Unlike equispaced interpolation, the error decreases rapidly with increasing $N$.","Two-panel figure on Chebyshev interpolation of the Runge function. Left, a line plot from minus one to one shows the function and its interpolants for degrees six, ten, and fourteen lying almost on top of the function with no boundary oscillations. Right, the pointwise interpolation error on a logarithmic vertical axis drops sharply as the degree increases, the opposite of the equispaced case, confirming rapid convergence."
"Chapter 4: The Geometry of Nodes","Figure","Fig. 4.5","fig4_5","figures/ch04/python/lagrange_basis.pdf","Lagrange basis polynomials $L_k (x)$ for $N = 10$. Left: equispaced nodes show large oscillations near the boundaries. Right: Chebyshev nodes yield bounded basis functions throughout the interval.","Two side-by-side line plots of the Lagrange basis polynomials L sub k for degree ten over the interval minus one to one, each curve equal to one at its own node and zero at the others. Left, on equispaced nodes the basis functions belonging to interior nodes swing to large positive and negative values near the boundaries. Right, on Chebyshev nodes every basis function stays small and bounded across the whole interval, showing far better behavior."
"Chapter 4: The Geometry of Nodes","Figure","Fig. 4.6","fig4_6","figures/ch04/python/lebesgue_functions.pdf","Left: Lebesgue functions $Lambda_(N)(x)$ for $N = 10$ with equispaced, Legendre, and Chebyshev nodes. The equispaced case has large peaks near the boundaries. Right: Growth of Lebesgue constants with $N$. The equispaced constant grows exponentially, while Chebyshev grows only logarithmically.","Two-panel figure on Lebesgue functions and constants. Left, the Lebesgue function for degree ten plotted over minus one to one for equispaced, Legendre, and Chebyshev nodes; the equispaced curve spikes to enormous peaks near the endpoints while the Legendre and Chebyshev curves stay low and gently rippled. Right, the Lebesgue constant versus degree N on a logarithmic vertical scale, with the equispaced curve rising as a steep straight line (exponential growth) and the Chebyshev curve nearly flat (logarithmic growth)."
"Chapter 4: The Geometry of Nodes","Figure","Fig. 4.7","fig4_7","figures/ch04/python/lebesgue_constants_zoom.pdf","Lebesgue constants for Legendre and Chebyshev nodes (equispaced omitted for clarity). Chebyshev nodes achieve the slowest possible growth rate $O(ln N)$, while Legendre nodes grow as $O(sqrt(N))$. Both are far superior to equispaced nodes, but Chebyshev remains the optimal choice.","Semilogarithmic plot of the Lebesgue constant versus polynomial degree N comparing only Legendre and Chebyshev nodes, with the divergent equispaced curve omitted. The Legendre curve rises faster, consistent with order square root of N growth, while the Chebyshev curve grows most slowly, consistent with order log N, confirming Chebyshev nodes as the optimal choice among the two."
"Chapter 4: The Geometry of Nodes","Figure","Fig. 4.8","fig4_8","figures/ch04/python/convergence_comparison.pdf","Convergence comparison for the Runge function. The maximum interpolation error is plotted against polynomial degree $N$ on a semilogarithmic scale. Chebyshev interpolation (green) converges at rate $O(rho^(-N))$ with $rho approx 1.22$. Equispaced interpolation (red) diverges exponentially.","Semilogarithmic convergence plot of the maximum interpolation error against polynomial degree N for the Runge function. The Chebyshev curve (green) descends as a straight line, indicating geometric convergence at rate rho to the power minus N with rho about one point two two, while the equispaced curve (red) climbs steeply upward, indicating exponential divergence. The two curves move in opposite directions."
"Chapter 4: The Geometry of Nodes","Figure","Fig. 4.9","fig4_9","figures/ch04/python/convergence_zoom.pdf","Chebyshev interpolation convergence for the Runge function (equispaced omitted for clarity). The error decreases geometrically at rate $O(rho^(-N))$ with $rho approx 1.22$, matching the theoretical prediction based on the pole locations at $z = plus.minus 0.2 i$.","Semilogarithmic plot of the maximum Chebyshev interpolation error versus polynomial degree N for the Runge function, shown alone without the divergent equispaced curve. The error markers fall along a near-perfect descending straight line, the signature of geometric convergence at rate rho to the power minus N with rho about one point two two, matching the theoretical prediction from the pole locations at z equals plus or minus zero point two i."
"Chapter 4: The Geometry of Nodes","Figure","Fig. 4.10","fig4_10","figures/ch04/python/lebesgue_random_nodes.pdf","Lebesgue constant for random nodes. Left: growth with polynomial degree $N$, showing mean (solid line) and min-max range (light shading). Right: distribution of $log_(10)(Lambda_(15))$ over $500$ random trials on a logarithmic scale, revealing the enormous spread spanning many orders of magnitude. Vertical lines mark the mean, median, equispaced, and Chebyshev values.","Two-panel statistical figure for random nodes. Left, the Lebesgue constant versus polynomial degree N on a logarithmic vertical scale, with a solid mean curve rising steeply (exponential growth) and a wide shaded band marking the min-to-max range that broadens with N. Right, a histogram of the base-ten logarithm of the Lebesgue constant at degree fifteen over five hundred trials, spread across many orders of magnitude, with vertical reference lines marking the mean, median, equispaced, and Chebyshev values, the last two sitting far below most random outcomes."
"Chapter 4: The Geometry of Nodes","Figure","Fig. 4.11","fig4_11","figures/ch04/python/lebesgue_random_chebyshev.pdf","Lebesgue constant for ""random Chebyshev"" nodes (uniform angles projected via cosine). Left: growth with polynomial degree, showing explosive exponential behavior with enormous variability. Right: distribution of $log_(10)(Lambda_(15))$ over $500$ trials. Despite having the ""correct"" arcsine marginal distribution, these nodes perform _catastrophically worse_ than any other distribution studied.","Two-panel statistical figure for random Chebyshev nodes built from uniform random angles projected through cosine. Left, the Lebesgue constant versus polynomial degree N on a logarithmic vertical scale climbs explosively to astronomical values, with a shaded variability band spanning many orders of magnitude. Right, a histogram of the base-ten logarithm of the Lebesgue constant at degree fifteen over five hundred trials, extremely broad and shifted toward huge values, showing that despite the correct arcsine marginal these nodes perform catastrophically worse than every other distribution studied."
"Chapter 5: Differentiation Matrices","Figure","Fig. 5.1","fig5_1","figures/ch05/python/fd_stencil_schematic.pdf","Finite difference stencils in one dimension, progressing from local to global. The derivative at the central node $x_i$ (red) is approximated using only the highlighted nodes (blue) within each stencil. From top to bottom: 3-point stencil (2nd order), 5-point stencil (4th order), 7-point stencil (6th order), and spectral method (all nodes). As the stencil widens, accuracy improves. The spectral method represents the limiting case where _every_ node contributes to the derivative approximation, yielding exponential rather than algebraic convergence.","Four stacked one-dimensional node rows on a number line illustrate widening finite-difference stencils. In each row the central node x-i is marked red and the nodes contributing to its derivative are marked blue: a 3-point stencil (second order), then 5-point (fourth order), then 7-point (sixth order), and finally the spectral method, where every node on the line is highlighted. The takeaway is that a broader stencil raises accuracy, and the spectral case is the limit in which all nodes contribute, giving exponential rather than algebraic convergence."
"Chapter 5: Differentiation Matrices","Figure","Fig. 5.2","fig5_2","figures/ch05/python/fd_matrix_bandwidth.pdf","Sparsity patterns of differentiation matrices for $N = 20$ grid points. Left: second-order finite differences (tridiagonal, bandwidth 3). Center: fourth-order finite differences (pentadiagonal, bandwidth 5). Right: spectral method (dense, bandwidth $N$). The progression illustrates the key insight: spectral methods are the limiting case of finite differences as the stencil width extends to the full domain.","Three side-by-side matrix sparsity patterns for twenty grid points, with nonzero entries shown as filled cells. Left: second-order finite differences form a narrow tridiagonal band of width three. Center: fourth-order finite differences form a pentadiagonal band of width five. Right: the spectral matrix is completely dense, with every off-diagonal entry filled. The sequence shows spectral methods as the limit of finite differences when the stencil spans the whole domain."
"Chapter 5: Differentiation Matrices","Figure","Fig. 5.3","fig5_3","figures/ch05/python/periodic_cardinal_functions.pdf","Periodic cardinal functions $phi_j (x)$ for $N = 16$ equispaced nodes on $[0, 2 pi)$. Each function peaks at value $1$ at its corresponding node $x_j$ and vanishes at all other nodes, satisfying the cardinal property $phi_j (x_k) = delta_(j k)$. The oscillations decay smoothly away from each peak, in contrast to the boundary-amplified oscillations seen in Lagrange basis polynomials for non-periodic interpolation.","Overlaid curves of periodic cardinal functions phi-j on the interval zero to two pi for sixteen equispaced nodes. Each smooth oscillating curve rises to a value of one at its own node and crosses zero at every other node, satisfying the cardinal property. The oscillations damp smoothly with distance from each peak, with no growth toward the domain ends, unlike the boundary-amplified oscillations of Lagrange polynomials in non-periodic interpolation."
"Chapter 5: Differentiation Matrices","Figure","Fig. 5.4","fig5_4","figures/ch05/python/spectral_matrix_structure.pdf","Structure of the periodic spectral differentiation matrix for $N = 16$. _Left_: heatmap showing the matrix entries. The Toeplitz (constant diagonal) structure is evident, as is the skew-symmetry ($D^top = -D$) with positive values (red) appearing where negative values (blue) appear in the transpose. _Right_: the first row entries $D_(0,k)$ (blue dots) plotted against the column offset $k = j - i$. The dashed red curve shows the continuous cotangent function $1/2 dot (-1)^k cot(k pi / N)$ from @eq-spectral-periodic, confirming that the discrete matrix entries lie exactly on this curve. The antisymmetric pattern ($D_(0,k) = -D_(0,-k)$) reflects the skew-symmetry of~$D$.","Two panels characterizing the periodic spectral differentiation matrix for sixteen points. Left: a color heatmap of the matrix entries showing constant-diagonal Toeplitz structure and skew-symmetry, with red positive values mirrored by blue negative values across the diagonal. Right: a scatter plot of the first-row entries D-zero-k against column offset k, with blue dots lying exactly on a dashed red curve given by one half times minus-one to the power k times cotangent of k pi over N, and an antisymmetric shape confirming the skew-symmetry."
"Chapter 5: Differentiation Matrices","Figure","Fig. 5.5","fig5_5","figures/ch05/python/spectral_derivatives_demo.pdf","Spectral differentiation of $u(x) = e^(sin^2 x)$ using $N = 64$ grid points. Left: the function $u$ (navy) and its first derivative $u'$ exact (coral) vs. spectral (teal circles). Right: second derivative $u''$ exact (purple) vs. spectral (teal squares). The maximum errors, displayed in each panel, are near machine precision ($approx 10^(-14)$). This remarkable accuracy with relatively few points is the hallmark of spectral methods for smooth periodic functions.","Two panels showing spectral differentiation of u of x equals e to the power sine squared x with sixty-four points. Left: the navy function curve together with its first derivative, where the exact coral curve and the teal circle markers coincide. Right: the second derivative, with the exact purple curve and teal square markers coinciding. Maximum errors annotated in each panel are near machine precision, about ten to the power minus fourteen, demonstrating spectral accuracy for smooth periodic functions."
"Chapter 5: Differentiation Matrices","Table","Table 5.1","tbl5_1","live text table (no image file)","Convergence of spectral differentiation for $u(x) = e^(sin^2 x)$. The maximum errors $norm(u' - D bold(u))_infinity$ and $norm(u'' - D^2 bold(u))_infinity$ decrease exponentially as $N$ increases, reaching machine precision by $N = 64$.","Table reporting maximum errors in the first and second spectral derivatives of e to the power sine squared x as the grid size N grows from eight to sixty-four, showing both errors fall exponentially to machine precision by sixty-four points."
"Chapter 5: Differentiation Matrices","Figure","Fig. 5.6","fig5_6","figures/ch05/python/stencil_pyramid.pdf","Fornberg's recursive algorithm visualized as a ""stencil pyramid."" Each box represents a weight $delta_m^((k, n))$ for node index $k$ in a stencil of $n + 1$ nodes. The algorithm builds from top (single node) to bottom (full stencil). Green arrows indicate updates to existing node weights via @eq-fornberg-old; red arrows show computation of new node weights via @eq-fornberg-new. The recursive structure ensures numerical stability.","Triangular diagram of Fornberg's recursive algorithm drawn as a stencil pyramid. Each row is one level holding boxes that represent weights delta for node index k in a stencil of n plus one nodes, with the single-node top widening to the full stencil at the bottom. Green arrows show updates to existing node weights and red arrows show computation of each newly added node's weight, and the layered dependencies illustrate why the recursion is numerically stable."
"Chapter 5: Differentiation Matrices","Figure","Fig. 5.7","fig5_7","figures/ch05/python/convergence_comparison.pdf","Differentiation error comparison: finite differences versus spectral method. The test function is $u(x) = 1/(2 + sin(x))$ on the periodic domain $[0, 2pi)$. Finite difference methods (FD2, FD4, FD6) exhibit algebraic convergence with the expected rates $O(N^(-2))$, $O(N^(-4))$, $O(N^(-6))$. The spectral method achieves geometric (exponential) convergence, reaching near machine precision around $N = 50$. Dashed lines show theoretical convergence rates.","Semilogarithmic plot of differentiation error versus grid size N, with error on a logarithmic vertical axis and N on a linear horizontal axis, for the test function one over two plus sine x. The three finite-difference curves, labelled FD2, FD4, and FD6, bend downward with progressively steeper algebraic slopes matching N to the minus two, minus four, and minus six, shown against dashed reference lines. The spectral curve falls as a straight line, reaching near machine precision around N equals fifty, dramatically outperforming the finite-difference schemes."
"Chapter 5: Differentiation Matrices","Figure","Fig. 5.8","fig5_8","figures/ch05/python/higher_order_derivatives.pdf","Higher-order spectral derivatives of $u(x) = e^(-sin(2x))$ using $N = 32$ grid points. Each panel compares the exact derivative (navy curve) with the spectral approximation (colored markers). The maximum errors, displayed in each panel, grow with derivative order---from $approx 10^(-7)$ for the first derivative to $approx 10^(-2)$ for the fourth. This error amplification is intrinsic to numerical differentiation.","Four-panel grid showing the first four spectral derivatives of u of x equals e to the power minus sine of two x with thirty-two points. In each panel the exact derivative is a navy curve and the spectral approximation is overlaid colored markers that track it closely. Annotated maximum errors increase with derivative order, from about ten to the power minus seven for the first derivative up to about ten to the power minus two for the fourth, illustrating the intrinsic error amplification of repeated numerical differentiation."
"Chapter 5: Differentiation Matrices","Table","Table 5.2","tbl5_2","live text table (no image file)","Convergence of spectral differentiation for $u(x) = e^(-sin(2x))$ at different derivative orders. Each column shows the maximum error $norm(u^((m)) - D^m bold(u))_infinity$ for the $m$-th derivative. While spectral convergence is achieved for all orders, higher derivatives require more grid points to reach a given accuracy.","Table reporting maximum errors of the first through fourth spectral derivatives of e to the power minus sine of two x across grid sizes N from eight to sixty-four, showing exponential convergence for every order while higher derivatives need more points to reach a given accuracy."
"Chapter 5: Differentiation Matrices","Figure","Fig. 5.9","fig5_9","figures/ch05/python/d2_comparison.pdf","Matrix squaring for second derivatives with $N = 16$. _Left_: structure of $D^2 = D dot D$, showing the Toeplitz pattern inherited from $D$. _Center_: eigenvalues of $D^2$ (circles) compared to the theoretical values $-k^2$ (squares), confirming spectral accuracy. _Right_: second derivative of $u(x) = e^(-sin(2x))$ computed via $D^2 bold(u)$, showing excellent agreement with the exact solution.","Three panels on matrix squaring for second derivatives with sixteen points. Left: a heatmap of the squared matrix D-squared showing the same Toeplitz constant-diagonal pattern inherited from D. Center: a scatter comparing the eigenvalues of D-squared, drawn as circles, with the theoretical values minus k squared, drawn as squares, which coincide. Right: the second derivative of e to the power minus sine of two x computed by applying D-squared, with the numerical result matching the exact curve."
"Chapter 5: Differentiation Matrices","Figure","Fig. 5.10","fig5_10","figures/ch05/python/harmonic_oscillator.pdf","The quantum harmonic oscillator solved with the periodic spectral method. _Left_: First five eigenfunctions computed with $N = 64$ equispaced points on $[-8, 8]$ (dots) compared to exact Hermite functions (lines). _Right_: Eigenvalue error versus $N$ for the first four eigenvalues. The error decreases faster than any exponential, reaching machine precision around $N = 36$.","Two panels for the quantum harmonic oscillator solved by the periodic spectral method. Left: the first five eigenfunctions on the interval minus eight to eight using sixty-four points, with computed dots lying on the exact Hermite-function curves. Right: a semilog plot of eigenvalue error versus N for the first four eigenvalues, where each error curve drops faster than exponentially and reaches machine precision near N equals thirty-six."
"Chapter 5: Differentiation Matrices","Table","Table 5.3","tbl5_3","live text table (no image file)","Computed eigenvalues of the harmonic oscillator with the periodic spectral method ($N = 36$, $L = 8$). The exact values are $lambda_n = 2n + 1$.","Table listing the harmonic oscillator eigenvalues computed by the periodic spectral method at N equals thirty-six, showing close agreement with the exact values lambda-n equals two n plus one."
"Chapter 6: Smoothness and Spectral Accuracy","Table","Table 6.1","tbl6_1","live text table (no image file)","The smoothness hierarchysmoothness hierarchy and corresponding Fourier decay rates. More smoothness implies faster decay.","A three-column reference table listing smoothness classes against their Fourier-coefficient decay rates and a representative example for each, ranging from bounded-variation functions decaying like one over k up to band-limited functions with compactly supported spectra; the takeaway is that greater smoothness yields progressively faster decay."
"Chapter 6: Smoothness and Spectral Accuracy","Figure","Fig. 6.1","fig6_1","figures/ch06/python/decay_hierarchy.pdf","The decay hierarchy of Fourier coefficients. Functions with greater smoothness exhibit faster decay: algebraic ($O(k^(-4))$) for finite regularity, geometric ($O(e^(-alpha k))$) for strip-analytic functions, and super-geometric for entire functions. The plot shows $|hat(f)_k|$ versus wavenumber $k$ on a semi-log scale.","A semi-log plot of Fourier-coefficient magnitude versus wavenumber k for three test functions, with the vertical axis logarithmic and the horizontal axis linear. The piecewise-smooth absolute-sine-cubed function gives a slowly bending downward curve (algebraic decay like k to the power minus four), the strip-analytic one over one-plus-sine-squared traces a nearly straight descending line (geometric decay), and the entire function e to the sine of x falls off faster than any straight line (super-geometric decay), cleanly separating the three smoothness regimes."
"Chapter 6: Smoothness and Spectral Accuracy","Figure","Fig. 6.2","fig6_2","figures/ch06/python/aliasing_visualization.pdf","The aliasing phenomenon. _Left_: A function $f(x) = sin(x) + 0.5 sin(10 x)$ sampled at $N = 12$ points. The high-frequency component $sin(10 x)$ aliases to $sin(-2 x)$, producing a misleading interpolant. _Center_: Frequency folding diagram showing how wavenumbers $k = 10$ and $k = -10$ fold into the resolved range $[-6, 6]$. _Right_: True versus aliased spectrum for $f(x) = 1/(1.5 + cos(x))$.","A three-panel illustration of aliasing. Left: a sine plus a higher-frequency sine sampled at only twelve points, where an interpolant drawn through the samples follows a misleading low-frequency curve rather than the true rapid oscillation. Center: a frequency-folding diagram showing how wavenumbers ten and minus ten outside the resolvable band fold back into the range minus six to six. Right: a comparison of the true spectrum computed from many samples against the aliased spectrum from few samples, where unresolved high modes contaminate the low ones."
"Chapter 6: Smoothness and Spectral Accuracy","Figure","Fig. 6.3","fig6_3","figures/ch06/python/convergence_rates.pdf","Spectral differentiation convergence rates for three functions of increasing smoothness. The error is measured in the maximum norm $norm(f' - D bold(f))_infinity$. Functions with greater smoothness achieve faster convergence, exactly as predicted by Theorem 4.","A semi-log convergence plot with maximum-norm spectral differentiation error on the logarithmic vertical axis versus the number of grid points N on the horizontal axis, for three functions of increasing smoothness. The only-twice-differentiable absolute-sine-cubed function declines slowly along an algebraic trend like N to the power minus three; the strip-analytic one over one-plus-sine-squared falls as a straight line indicating geometric convergence; and the entire function e to the sine of x plunges almost vertically to machine precision near N equals thirty, demonstrating super-geometric convergence as predicted by the differentiation theorem."
"Chapter 7: Chebyshev Differentiation Matrices","Figure","Fig. 7.1","fig7_1","figures/ch07/python/grid_comparison.pdf","Comparison of equispaced and Chebyshev-Gauss-Lobatto grids for $N = 16$ intervals. Top: equispaced points are distributed uniformly. Middle: Chebyshev points cluster near the boundaries. Bottom left: the circle projection interpretation: Chebyshev points are the projections of equally-spaced points on a semicircle. Bottom right: comparison of grid spacing near the left boundary, showing the $O(N^(-2))$ clustering of Chebyshev points.","Four-panel comparison of node distributions on the interval minus one to one for sixteen intervals. The top panel shows equispaced points spread uniformly along the line; the middle panel shows Chebyshev-Gauss-Lobatto points bunched tightly near both endpoints and sparse in the centre. The bottom-left panel draws a semicircle with equally spaced points around its arc dropping vertical projections down to the axis, illustrating that Chebyshev nodes are these projections. The bottom-right panel compares spacing near the left boundary, showing Chebyshev gaps shrinking like one over N squared versus the uniform one over N gaps of the equispaced grid."
"Chapter 7: Chebyshev Differentiation Matrices","Figure","Fig. 7.2","fig7_2","figures/ch07/python/cheb_matrix_structure.pdf","Structure of the Chebyshev differentiation matrix for $N = 16$. Left: heatmap showing the matrix entries, with red indicating positive values and blue indicating negative. The large corner entries $(D_N)_(0 0)$ and $(D_N)_(N N)$ are visible. Right: row profiles showing boundary row (red) and interior row (green). The boundary row has large entries reflecting the $O(N^2)$ corner values.","Two-panel view of the sixteen-by-sixteen Chebyshev differentiation matrix. The left panel is a heatmap of the matrix entries with red for positive and blue for negative values, dominated by the two large opposite-sign corner entries at the top-left and bottom-right; the off-diagonal pattern shows alternating signs. The right panel overlays two row profiles versus column index: the boundary row in red towers far above the interior row in green, whose entries are too small to discern at this shared scale, dramatizing the order N squared size of the corner values."
